#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2020-12-27 22:58:24 EST     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01593500 LITTLE PATUXENT RIVER AT GUILFORD, MD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01593500	20	1934-06-11 04:55:00	EDT	Yes	JLS	USGS	1.84	20.8	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	20.8	27.0	28.7	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	21	1934-07-14 06:15:00	EDT	Yes	LAW	USGS	1.72	14.0	Good	-0.01	0.60	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	14.0	25.0	20.9	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	22	1934-08-31 03:00:00	EDT	Yes	JLS	USGS	1.64	10.8	Unspecified	0.00	1.20	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	10.8	18.5	18.2	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	23	1934-09-27 05:30:00	EDT	Yes	JLS	USGS	2.43	69.7	Good	0.25	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	69.7	34.0	51.0	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	24	1934-10-07 11:30:00	EST	Yes	JLS	USGS	2.22	49.6	Good	0.00	1.10	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	49.6	33.0	45.4	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	25	1934-11-02 16:30:00	EST	Yes	JLS	USGS	1.88	25.4	Good	0.00	0.70	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	25.4	29.0	32.5	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	26	1934-11-28 16:25:00	EST	Yes	JLS	USGS	1.98	32.2	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	32.2	28.0	33.8	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	27	1934-12-01 11:15:00	EST	Yes	JLS	USGS	5.41	441	Good	0.03	2.00	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	441	36.0	163	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	28	1934-12-01 13:30:00	EST	Yes	JLS	USGS	5.32	437	Good	-0.15	0.90	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	437	37.0	167	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	29	1934-12-01 15:50:00	EST	Yes	JLS	USGS	5.02	388	Good	-0.05	0.90	Clear	NONE	1	Imported Channel 1	CWAY	unspe	unkno	388	37.0	159	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	30	1934-12-02 09:20:00	EST	Yes	JLS	USGS	2.82	104	Good	-0.05	1.30	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	104	36.0	70.0	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	31	1935-01-10 15:15:00	EST	Yes	LAW	USGS	2.29	55.3	Good	-0.02	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	55.3	34.0	42.8	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	32	1935-02-18 14:05:00	EST	Yes	LAW	USGS	2.84	102	Good	-0.02	1.10	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	102	34.0	70.5	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	33	1935-04-02 12:20:00	EST	Yes	LAW	USGS	2.41	65.1	Good	-0.02	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	65.1	32.0	42.5	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	34	1935-05-14 13:00:00	EDT	Yes	LAW	USGS	2.26	58.8	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	58.8	32.0	42.6	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	35	1935-05-15 17:20:00	EDT	Yes	LAW	USGS	2.14	48.1	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	48.1	32.0	42.6	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	36	1935-07-16 10:00:00	EDT	Yes	DSJ	USGS	1.78	17.4	Fair	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	17.4	14.5	14.5	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	37	1935-08-29 12:05:00	EDT	Yes	LLH	USGS	1.67	12.4	Good	-0.01	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	12.4	24.5	21.7	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	38	1935-10-09 11:20:00	EST	Yes	LAW	USGS	1.77	18.0	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	18.0	24.0	26.4	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	39	1935-12-05 15:35:00	EST	Yes	LAW	USGS	1.97	31.6	Good	-0.02	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	31.6	26.0	25.0	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	40	1936-03-04 09:40:00	EST	Yes	ADA	USGS	2.29	57.0	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	57.0	34.0	44.2	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	41	1936-05-07 11:10:00	EDT	Yes	MTT	USGS	2.03	36.5	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	36.5	30.0	33.2	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	42	1936-08-17 17:10:00	EDT	Yes	LBP	USGS	1.70	10.5	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	10.5	14.5	14.9	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	43	1936-09-19 18:50:00	EDT	Yes	FRE	USGS	1.66	9.08	Good	0.00	1.20	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	9.08	13.0	14.2	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
